epoch,step,train_loss,val_loss
0,9,nan,
0,19,nan,
0,29,nan,
0,39,nan,
0,49,nan,
0,59,nan,
0,69,nan,
0,79,nan,
0,89,nan,
0,99,nan,
0,109,nan,
0,119,nan,
0,129,nan,
0,139,nan,
0,149,nan,
0,159,nan,
0,169,nan,
0,179,nan,
0,189,nan,
0,199,nan,
0,209,nan,
0,219,nan,
0,229,nan,
0,239,nan,
0,249,nan,
0,259,nan,
0,269,nan,
0,279,nan,
0,289,nan,
0,299,nan,
0,309,nan,
0,319,nan,
0,329,nan,
0,339,nan,
0,349,nan,
0,359,nan,
0,369,nan,
0,379,nan,
0,389,nan,
0,399,nan,
0,409,nan,
0,419,nan,
0,429,nan,
0,439,nan,
0,449,nan,
0,459,nan,
0,469,nan,
0,479,nan,
0,489,nan,
0,499,nan,
0,509,nan,
0,519,nan,
0,529,nan,
0,539,nan,
0,549,nan,
0,559,nan,
0,569,nan,
0,579,nan,
0,589,nan,
0,599,nan,
0,609,nan,
0,619,nan,
0,629,nan,
0,639,nan,
0,649,nan,
0,659,nan,
0,669,nan,
0,679,nan,
0,689,nan,
0,699,nan,
0,709,nan,
0,719,nan,
0,729,nan,
0,739,nan,
0,749,nan,
0,759,nan,
0,760,,nan
